Item id,Price
1,Price1
2,Price1
3,Price2
4,Base_Price
5,Price4
6,Price2
7,Price1
8,Price3
9,Price1
10,Price3
11,Price4
12,Price1
13,Price3
14,Price4
15,Base_Price
16,Price4
17,Price1
18,Base_Price
19,Price2
20,Base_Price
21,Price4
22,Price2
23,Price3
24,Price1
25,Price2
26,Price1
27,Price2
28,Base_Price
29,Base_Price
30,Price3
31,Price3
32,Price3
33,Price1
34,Price3
35,Price2
36,Price1
37,Price1
38,Price4
39,Base_Price
40,Base_Price
41,Price1
42,Price2
43,Price1
44,Price1
45,Price4
46,Price1
47,Price1
48,Price1
49,Base_Price
50,Base_Price
51,Base_Price
52,Price3
53,Base_Price
54,Price2
55,Price3
56,Price1
57,Price1
58,Price1
59,Price4
60,Price2
61,Price3
62,Price2
63,Price2
64,Price2
65,Price3
66,Price1
67,Price4
68,Base_Price
69,Price4
70,Price2
71,Price1
72,Price1
73,Price4
74,Price1
75,Price3
76,Price2
77,Price1
78,Price1
79,Price4
80,Price4
81,Price2
82,Price4
83,Price1
84,Price1
85,Price1
86,Price4
87,Price1
88,Base_Price
89,Price1
90,Price1
91,Price2
92,Price1
93,Price3
94,Price1
95,Price1
96,Price4
97,Price2
98,Price1
99,Price2
100,Price2
101,Price1
102,Price2
103,Base_Price
104,Price1
105,Price2
106,Price1
107,Price1
108,Price4
109,Base_Price
110,Price3
111,Price2
112,Price3
113,Base_Price
114,Price3
115,Price4
116,Price1
117,Base_Price
118,Base_Price
119,Price2
120,Price1
121,Price1
122,Price2
123,Price1
124,Price1
125,Base_Price
126,Base_Price
127,Price1
128,Base_Price
129,Base_Price
130,Base_Price
131,Price1
132,Price4
133,Price1
134,Price2
135,Price3
136,Price1
137,Price3
138,Price2
139,Price1
140,Price2
141,Price2
142,Price1
143,Price1
144,Base_Price
145,Price2
146,Price4
147,Base_Price
148,Base_Price
149,Price2
150,Price1
151,Price2
152,Price2
153,Price2
154,Price2
155,Price2
156,Base_Price
157,Price4
158,Base_Price
159,Base_Price
160,Price1
161,Price1
162,Price1
163,Price2
164,Price2
165,Price1
166,Price1
167,Price3
168,Price4
169,Price1
170,Price1
171,Price1
172,Price2
173,Base_Price
174,Base_Price
175,Base_Price
176,Price4
177,Base_Price
178,Price2
179,Price3
180,Price2
181,Price1
182,Price2
183,Base_Price
184,Base_Price
185,Price4
186,Price1
187,Base_Price
188,Price1
189,Price4
190,Price1
191,Price1
192,Price2
193,Base_Price
194,Base_Price
195,Base_Price
196,Price1
197,Price1
198,Price1
199,Price2
200,Price2
201,Price3
202,Price3
203,Base_Price
204,Price1
205,Price4
206,Base_Price
207,Price4
208,Base_Price
209,Price1
210,Price4
211,Price1
212,Price3
213,Price1
214,Price3
215,Price1
216,Price2
217,Price4
218,Price2
219,Price2
220,Base_Price
221,Price1
222,Price4
223,Price1
224,Price1
225,Price2
226,Price3
227,Base_Price
228,Price2
229,Price4
230,Price1
231,Price2
232,Base_Price
233,Base_Price
234,Price2
235,Price1
236,Price2
237,Base_Price
238,Price3
239,Price2
240,Price4
241,Price4
242,Price4
243,Price1
244,Price2
245,Price1
246,Price4
247,Price2
248,Price1
249,Price2
250,Price3
251,Price4
252,Price4
253,Price1
254,Price4
255,Price2
256,Price3
257,Price2
258,Price2
259,Price1
260,Price4
261,Base_Price
262,Price3
263,Base_Price
264,Price1
265,Price3
266,Price1
267,Price3
268,Price1
269,Price1
270,Base_Price
271,Base_Price
272,Price4
273,Price2
274,Price1
275,Price3
276,Base_Price
277,Price1
278,Price4
279,Price2
280,Price3
281,Price2
282,Price1
283,Base_Price
284,Price1
285,Price2
286,Price1
287,Price4
288,Price2
289,Price4
290,Price1
291,Price4
292,Base_Price
293,Price1
294,Price3
295,Price4
296,Price1
297,Price2
298,Price1
299,Price1
300,Price2
