Item id,Price
1,Price1
2,Price1
3,Price2
4,Base_Price
5,Price4
6,Price2
7,Price1
8,Price2
9,Base_Price
10,Price3
11,Price4
12,Base_Price
13,Price3
14,Price4
15,Base_Price
16,Price4
17,Price1
18,Base_Price
19,Price4
20,Base_Price
21,Price4
22,Price4
23,Price3
24,Price1
25,Price2
26,Price1
27,Price1
28,Base_Price
29,Base_Price
30,Price2
31,Price2
32,Price3
33,Price1
34,Price3
35,Price1
36,Price1
37,Price1
38,Price4
39,Base_Price
40,Base_Price
41,Price4
42,Price2
43,Price1
44,Price1
45,Price4
46,Price3
47,Base_Price
48,Price1
49,Base_Price
50,Base_Price
51,Base_Price
52,Price3
53,Base_Price
54,Price2
55,Price3
56,Price1
57,Base_Price
58,Price1
59,Price4
60,Price1
61,Price2
62,Price2
63,Price1
64,Price2
65,Price3
66,Price1
67,Price4
68,Base_Price
69,Price4
70,Price1
71,Price1
72,Price1
73,Price4
74,Price1
75,Price2
76,Price2
77,Price1
78,Base_Price
79,Price4
80,Price4
81,Price2
82,Price4
83,Price1
84,Price3
85,Price1
86,Price4
87,Price1
88,Base_Price
89,Price1
90,Price1
91,Price2
92,Price1
93,Price2
94,Price3
95,Price1
96,Price4
97,Price2
98,Base_Price
99,Price4
100,Price2
101,Price1
102,Price2
103,Base_Price
104,Price1
105,Price2
106,Price3
107,Price1
108,Price4
109,Base_Price
110,Price2
111,Price2
112,Price2
113,Base_Price
114,Price3
115,Price4
116,Price1
117,Base_Price
118,Base_Price
119,Price4
120,Price1
121,Price1
122,Price4
123,Price1
124,Price1
125,Base_Price
126,Base_Price
127,Price1
128,Base_Price
129,Base_Price
130,Base_Price
131,Price1
132,Price3
133,Price1
134,Price4
135,Price2
136,Price3
137,Price3
138,Price2
139,Price1
140,Price1
141,Price4
142,Price3
143,Price1
144,Base_Price
145,Price2
146,Price4
147,Base_Price
148,Base_Price
149,Price2
150,Price1
151,Price2
152,Price2
153,Price2
154,Price2
155,Price1
156,Base_Price
157,Price4
158,Base_Price
159,Base_Price
160,Base_Price
161,Price1
162,Base_Price
163,Price2
164,Price1
165,Price1
166,Price1
167,Price3
168,Price3
169,Price1
170,Price1
171,Price1
172,Price1
173,Base_Price
174,Base_Price
175,Base_Price
176,Price4
177,Base_Price
178,Price4
179,Price3
180,Price4
181,Base_Price
182,Price2
183,Base_Price
184,Base_Price
185,Price4
186,Price1
187,Base_Price
188,Price1
189,Price4
190,Price1
191,Price1
192,Price2
193,Base_Price
194,Base_Price
195,Base_Price
196,Price1
197,Price1
198,Price1
199,Price2
200,Price2
201,Price2
202,Price2
203,Base_Price
204,Price1
205,Price4
206,Base_Price
207,Price4
208,Base_Price
209,Base_Price
210,Price4
211,Price1
212,Price3
213,Price1
214,Price3
215,Base_Price
216,Price1
217,Price4
218,Price4
219,Price1
220,Base_Price
221,Price1
222,Price4
223,Price1
224,Base_Price
225,Price4
226,Price3
227,Base_Price
228,Price2
229,Price4
230,Price1
231,Price2
232,Base_Price
233,Base_Price
234,Price4
235,Price1
236,Price2
237,Base_Price
238,Price3
239,Price4
240,Price4
241,Price4
242,Price4
243,Price1
244,Price2
245,Price1
246,Price4
247,Price2
248,Price1
249,Price2
250,Price2
251,Price4
252,Price3
253,Price1
254,Price4
255,Price2
256,Price3
257,Price4
258,Price4
259,Price1
260,Price4
261,Base_Price
262,Price3
263,Base_Price
264,Price1
265,Price3
266,Price1
267,Price3
268,Price1
269,Price1
270,Base_Price
271,Base_Price
272,Price4
273,Price1
274,Price1
275,Price2
276,Base_Price
277,Base_Price
278,Price4
279,Price1
280,Price3
281,Price2
282,Price1
283,Base_Price
284,Price1
285,Price2
286,Price1
287,Price4
288,Price2
289,Price4
290,Price3
291,Price3
292,Base_Price
293,Price3
294,Price3
295,Price4
296,Base_Price
297,Price2
298,Price1
299,Price3
300,Price4
